x,y,gol,tirador,portero,tipo_de_tiro,marco_vacio,pasivo,distancia_a_gol,larga_distancia,posicion,xg,probabilidad_parada,numero_tiro,mitad
13,0,Gol,Motor,"36 - Møller, Kevin",7m,FALSE,FALSE,7,FALSE,centre,77%,23%,1,1
-14.97648833,-5.704095666,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,6.550579352,FALSE,left,71%,29%,2,1
13.61636817,-5.039145514,Fuera,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,7.299062019,FALSE,right,69%,31%,3,1
-15.75226351,6.431244592,Parada,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.508489727,FALSE,right,75%,25%,4,1
-12.31668773,3.716031475,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,7.996504422,FALSE,right,69%,31%,5,1
-14.47777572,5.10134429,Gol,Barcelona,"33 - Maroz, Ivan",Contragolpe,FALSE,FALSE,6.592771929,FALSE,right,77%,23%,6,1
15.55580611,6.431244592,Gol,Motor,"1 - Perez de Vargas, G",Extremo,FALSE,FALSE,6.638375749,FALSE,left,62%,38%,7,1
-13.64658803,-5.925745716,Parada,Barcelona,"33 - Maroz, Ivan",Extremo,FALSE,FALSE,7.742936704,FALSE,left,62%,38%,8,1
16.49781882,-6.756933405,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,6.3166939,FALSE,right,69%,31%,9,1
-10.48807481,-0.66155702,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,9.511925188,TRUE,centre,39%,61%,10,1
-13.75741306,1.222468409,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,6.242586945,FALSE,centre,71%,29%,11,1
11.34445515,-5.205383052,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,9.415323692,TRUE,right,40%,60%,12,1
-14.64401326,5.156756803,Gol,Barcelona,"33 - Maroz, Ivan",Contragolpe,FALSE,FALSE,6.485249749,FALSE,right,77%,23%,13,1
-13.97906311,-3.432182649,Gol,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.323370215,FALSE,left,75%,25%,14,1
11.84316776,-5.759508178,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,9.202028149,TRUE,right,40%,60%,15,1
-13,0,Gol,Barcelona,"33 - Maroz, Ivan",7m,FALSE,FALSE,7,FALSE,centre,77%,23%,16,1
11.17821761,-5.648683153,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,TRUE,9.748610999,TRUE,right,40%,60%,17,1
-14.81025079,-4.983733002,Parada,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.250591368,FALSE,left,75%,25%,18,1
-13,0,Parada,Barcelona,"33 - Maroz, Ivan",7m,FALSE,FALSE,7,FALSE,centre,77%,23%,19,1
15.22333103,-5.648683153,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,6.32677946,FALSE,right,69%,31%,20,1
-9.989362199,0.834580821,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,10.0106378,TRUE,centre,39%,61%,21,1
-17.35922637,-7.200233506,Gol,Barcelona,"33 - Maroz, Ivan",Extremo,FALSE,FALSE,6.282224714,FALSE,left,62%,38%,22,1
13.72719319,2.774018761,Gol,Motor,"1 - Perez de Vargas, G",Extremo,FALSE,FALSE,6.40087721,FALSE,left,62%,38%,23,1
-13,0,Gol,Barcelona,"33 - Maroz, Ivan",7m,FALSE,FALSE,7,FALSE,centre,77%,23%,24,1
10.679505,-3.930895263,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,9.632283159,TRUE,right,40%,60%,25,1
14.44755586,-5.37162059,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,6.768979389,FALSE,right,69%,31%,26,1
-14.31153818,-5.316208077,Parada,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.849966566,FALSE,left,75%,25%,27,1
-13.64658803,0.003393132,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,6.35341197,FALSE,centre,71%,29%,28,1
-13.64658803,3.771443988,Gol,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.747243989,FALSE,right,75%,25%,29,1
-10.82054989,3.161906349,Fuera,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,9.328678206,TRUE,right,40%,60%,30,1
12.61894294,4.658044189,Parada,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,8.028277924,FALSE,left,71%,29%,31,1
-14.20071316,-5.981158229,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,7.3288817,FALSE,left,71%,29%,32,1
13.67178068,2.164481123,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,6.363009896,FALSE,left,71%,29%,33,1
10.84574254,-4.595845414,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,9.663575349,TRUE,right,40%,60%,34,1
-12.28333117,-5.85521235,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,8.860860702,FALSE,left,71%,29%,35,1
